CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Commodity,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,Sector RSI 1m,Sector RSI 3m,Sector RSI 6m,Market RSI 1m,Market RSI 3m,Market RSI 6m
N91.JO,Ninety One Plc,Investment Banking and Brokerage Service,123.0,0.0012,4909.47,39.88,STXFIN,STXCAP,0,,,,,,,,1.0,0.88,0.86,1.01,0.97,1.06
KST.JO,PSG KONSULT LTD,Investment Banking and Brokerage Service,697.0,0.0031,12360.01,17.74,STXFIN,STXCAP,0,,,,,,,,0.98,0.98,0.97,0.98,1.08,1.17
PPE.JO,Purple,Investment Banking and Brokerage Service,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.96,0.83,1.13,0.96,0.91,1.33
QLT.JO,QUILTER PLC,Investment Banking and Brokerage Service,581.0,0.004,16037.65,27.58,STXFIN,STXCAP,0,,,,,,,,1.03,1.01,1.08,1.03,1.11,1.28
RNI.JO,REINET INVESTMENTS SCA,Investment Banking and Brokerage Service,90.0,0.0102,40947.74,454.6,STXACW,STXCAP,0,,,,,,,,1.01,1.02,,0.99,1.01,1.09
REM.JO,REMGRO,Investment Banking and Brokerage Service,339.0,0.0116,46907.1,138.44,STXFIN,STXCAP,0,,,,,,,,0.98,0.96,0.77,0.98,1.05,0.97
RMH.JO,RMB Holdings,Investment Banking and Brokerage Service,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.98,0.9,0.91,0.98,0.99,1.11
SBP.JO,Sabvest,Investment Banking and Brokerage Service,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.04,0.94,0.9,1.04,1.03,1.1
SYG.JO,Sygnia,Investment Banking and Brokerage Service,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.95,0.88,1.0,0.95,0.97,1.21
ZED.JO,Zeder,Investment Banking and Brokerage Service,,0.0,,,STXFIN,STXCAP,0,,,,,,,,1.01,0.91,0.99,1.01,0.99,1.19
CLI.JO,Clientele,Life Insurance,,0.0,,,STXFIN,STXCAP,0,,,,,,,,0.97,0.95,0.82,0.97,1.04,1.02
