CODE,SHARE NAME,INDUSTRY,SHARES,WEIGHT,MARKET CAP,CLOSING,RSI Comparison Sector,RSI Comparison Market,Current Price,Current Value,Next Week Prediction,Next Month Prediction,Next Week Volume Prediction,Next Month Volume Prediction,Z-Score,Overbought_Oversold,Overbought_Oversold_Value,SECTOR RSI 1M,SECTOR RSI 3M,SECTOR RSI 6M,MARKET RSI 1M,MARKET RSI 3M,MARKET RSI 6M
PRX.JO,PROSUS NV,Software & Computer Services,170.0,0.0272,109554.3,645.0,STXACW,%5EJ300,63001.0,63001.0,-1.0,-1.0,-1.0,-1.0,-0.71,-0.03,0.97,1.0,0.91,,0.97,0.9,1.13
QFH.JO,Quantum Food,Food Producers,,0.0,,,STXFIN,%5EJ300,861.0,861.0,-1.0,-1.0,-1.0,-1.0,-1.83,-0.14,0.86,0.77,0.54,1.87,0.77,0.59,2.11
QLT.JO,QUILTER PLC,Investment Banking and Brokerage Service,581.0,0.004,16037.65,27.58,STXFIN,%5EJ300,3075.0,3075.0,-1.0,-1.0,-1.0,-1.0,1.17,0.03,1.03,1.08,1.06,1.09,1.08,1.15,1.3
RBO.JO,Rainbow Chicken,Food Producers,,0.0,,,STXFIN,%5EJ300,355.0,355.0,-1.0,-1.0,-1.0,-1.0,-1.15,,,0.87,,,0.87,,
RBX.JO,RAUBEX GROUP LTD,Construction & Materials,115.0,0.0013,5362.68,46.5,STXFIN,%5EJ300,4343.0,4343.0,-1.0,-1.0,-1.0,-1.0,-1.7,0.1,1.1,0.94,1.13,1.37,0.94,1.24,1.6
RDF.JO,REDEFINE,Real Estate Investment Trusts,4600.0,0.0048,19503.97,4.24,STXPRO,%5EJ300,422.0,422.0,-1.0,-1.0,-1.0,-1.0,0.11,0.05,1.05,1.03,0.99,0.99,1.02,1.05,1.13
REM.JO,REMGRO,Investment Banking and Brokerage Service,339.0,0.0116,46907.1,138.44,STXFIN,%5EJ300,13350.0,13350.0,-1.0,-1.0,-1.0,-1.0,-0.65,0.02,1.02,0.99,0.95,0.78,0.99,1.04,0.98
RES.JO,RESILIENT REIT LIMITED,Real Estate Investment Trusts,203.0,0.0026,10284.24,50.54,STXPRO,%5EJ300,5079.0,5079.0,-1.0,-1.0,-1.0,-1.0,1.47,0.05,1.05,1.05,1.05,1.01,1.03,1.11,1.15
RFG.JO,RFG Holdings,Food Producers,,0.0,,,STXFIN,%5EJ300,1500.0,1500.0,-1.0,-1.0,-1.0,-1.0,-0.97,0.03,1.03,1.01,1.04,1.03,1.01,1.14,1.24
RLO.JO,REUNERT,Electronics & Electrical Equipment,105.0,0.0019,7577.53,72.39,STXFIN,%5EJ300,7099.0,7099.0,-1.0,-1.0,-1.0,-1.0,-1.04,0.03,1.03,0.98,0.93,1.0,0.98,1.01,1.21
RMH.JO,RMB Holdings,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,42.0,42.0,-1.0,-1.0,-1.0,-1.0,0.93,0.02,1.02,1.01,0.91,0.93,1.01,0.99,1.14
RNI.JO,REINET INVESTMENTS SCA,Investment Banking and Brokerage Service,90.0,0.0102,40947.74,454.6,STXACW,%5EJ300,46373.0,46373.0,-1.0,-1.0,-1.0,-1.0,-0.05,-0.01,0.99,1.06,1.03,,1.03,1.02,1.06
RTN.JO,Rex Trueform,Retailers,,0.0,,,STXFIN,%5EJ300,11.03,11.03,-1.0,-1.0,-1.0,-1.0,-2.92,0.27,1.27,0.01,0.01,0.01,0.01,0.01,0.19
S32.JO,SOUTH32 LTD,Industrial Metals & Mining,211.0,0.0024,9536.06,45.24,STXRES,%5EJ300,3450.0,3450.0,-1.0,-1.0,-1.0,-1.0,-1.09,-0.09,0.91,0.82,0.85,0.78,0.78,0.78,1.02
SAC.JO,SA CORP REAL ESTATE,Real Estate Investment Trusts,1638.0,0.0011,4405.85,2.69,STXPRO,%5EJ300,268.0,268.0,-1.0,-1.0,-1.0,-1.0,0.1,0.03,1.03,1.03,0.99,1.02,1.02,1.05,1.16
SAP.JO,SAPPI,Industrial Materials,402.0,0.0052,21047.59,52.42,STXFIN,%5EJ300,4700.0,4700.0,-1.0,-1.0,-1.0,-1.0,-2.02,0.01,1.01,0.88,0.76,0.89,0.88,0.83,1.1
SB=F,Sugar futures,TBC,332.0,0.0009,3816.29,11.49,STXFIN,%5EJ300,331.51,331.51,-1.0,-1.0,-1.0,-1.0,,,,0.91,0.87,0.71,0.91,0.96,0.9
SBK.JO,STANBANK,Banks,902.0,0.0475,191276.92,212.1,STXFIN,%5EJ300,21800.0,21800.0,-1.0,-1.0,-1.0,-1.0,0.56,0.05,1.05,1.05,1.05,0.97,1.05,1.15,1.18
SBP.JO,Sabvest,Investment Banking and Brokerage Service,,0.0,,,STXFIN,%5EJ300,7101.0,7101.0,-1.0,-1.0,-1.0,-1.0,-0.99,0.05,1.05,0.91,0.99,0.9,0.91,1.08,1.11
SDO.JO,Stadio,Consumer Services,,0.0,,,STXFIN,%5EJ300,558.0,558.0,-1.0,-1.0,-1.0,-1.0,1.62,0.06,1.06,1.06,1.04,0.99,1.06,1.14,1.2
SEB.JO,Sebata,Software & Computer Services,,0.0,,,STXFIN,%5EJ300,80.0,80.0,-1.0,-1.0,-1.0,-1.0,0.34,-0.39,0.61,0.01,0.0,0.0,0.01,0.01,0.19
SEP.JO,Sephaku,Construction & Materials,,0.0,,,STXFIN,%5EJ300,155.0,155.0,-1.0,-1.0,-1.0,-1.0,-2.65,0.18,1.18,1.1,1.36,1.49,1.1,1.48,1.72
